"logFC" "logCPM" "LR" "PValue" "FDR" "gene_name" "gene_type"
"ENSG00000100206" 2.41799958081093 1.89378910576984 44.5084900073958 2.53256571144562e-11 3.80997380402766e-10 "DMC1" "protein_coding"
"ENSG00000100218" 1.55527063549828 1.46835707237594 24.2029018305794 8.67015484752672e-07 6.13758368018852e-06 "RSPH14" "protein_coding"
"ENSG00000100253" 5.22916664910211 1.45587278875317 45.7963016255252 1.31211029778825e-11 2.05838011754587e-10 "MIOX" "protein_coding"
"ENSG00000100288" 1.71456912246827 -0.588202454976892 28.5102263836549 9.32049000813536e-08 7.94605701703433e-07 "CHKB" "protein_coding"
"ENSG00000100290" 1.89609264147026 2.04170392502867 25.2312721699283 5.08509466729369e-07 3.77415705412857e-06 "BIK" "protein_coding"
"ENSG00000100302" 3.22296948284948 1.20670296051498 151.994778051966 6.35283060125451e-35 1.29558485200079e-32 "RASD2" "protein_coding"
"ENSG00000100314" 2.74059191338674 -1.0683193320571 10.4841243698258 0.00120404668816751 0.00427881535263522 "CABP7" "protein_coding"
"ENSG00000100346" 4.16613670942461 1.3588323308696 15.6617558902489 7.57403042764463e-05 0.000359922605778149 "CACNA1I" "protein_coding"
"ENSG00000100362" -4.17274261048945 1.37059160146953 145.219747316042 1.9227329805788e-33 3.42142793764661e-31 "PVALB" "protein_coding"
"ENSG00000100373" 6.42078110696294 3.85126364280441 38.0167181785566 7.01410292411918e-10 8.41993883096727e-09 "UPK3A" "protein_coding"
"ENSG00000100433" 1.80193197597025 0.975771291322578 9.09154907293424 0.00256793279289845 0.00836640893152097 "KCNK10" "protein_coding"
"ENSG00000100473" 4.40668880683266 5.20615959026154 84.1440620175887 4.6000350604578e-20 2.18282186574743e-18 "COCH" "protein_coding"
"ENSG00000100479" 1.60084226042263 5.4309733507957 88.4813950157488 5.13152537179926e-21 2.79698952735263e-19 "POLE2" "protein_coding"
"ENSG00000100526" 3.95648711951491 6.16980631277885 234.633611549726 5.81931596135702e-53 7.28437892114556e-50 "CDKN3" "protein_coding"
"ENSG00000100577" -1.93798747207597 7.20823343771708 136.250350518652 1.75894618143492e-31 2.69415634313371e-29 "GSTZ1" "protein_coding"
"ENSG00000100593" 4.79475484812867 -0.223845447540429 9.83335956949101 0.00171375050828048 0.00585458848118669 "ISM2" "protein_coding"
"ENSG00000100625" 3.48563659996319 3.13435759524493 84.0993787110136 4.70518549364224e-20 2.22399659641546e-18 "SIX4" "protein_coding"
"ENSG00000100739" 3.02327302775276 1.87762384278464 47.4498296375824 5.64298492906989e-12 9.35369844338658e-11 "BDKRB1" "protein_coding"
"ENSG00000100985" 1.8155593935613 4.32460015759849 25.6290308015316 4.13767357870489e-07 3.11880582600843e-06 "MMP9" "protein_coding"
"ENSG00000100987" 2.43130154235677 1.24126104542867 27.6349855057747 1.46504838443941e-07 1.20295682885173e-06 "VSX1" "protein_coding"
"ENSG00000101003" 2.71043295410305 6.15668667007266 142.83365065012 6.39149634954067e-33 1.08419490179755e-30 "GINS1" "protein_coding"
"ENSG00000101057" 4.56012087983117 5.14568194956978 167.352861897561 2.80126278027918e-38 7.26347429906531e-36 "MYBL2" "protein_coding"
"ENSG00000101074" 1.92496701831358 -1.23903585050125 10.2299120845652 0.00138181249560781 0.00484181229759257 "R3HDML" "protein_coding"
"ENSG00000101104" 1.64344596594989 7.27760493482069 81.301981432519 1.9373223013822e-19 8.38220939957988e-18 "PABPC1L" "protein_coding"
"ENSG00000101115" 1.72500426333568 4.64439705589584 17.739567525437 2.53302755029068e-05 0.000133650338812648 "SALL4" "protein_coding"
